FID,height,area,Additional_water,Ponding_level,Average_ponding_depth
842,62,5156.25,62.200000000000614,62.062,0.00641
843,60,3906.25,932.5000000001435,60.933,0.07285
845,82,781.25,828.1000000001197,82.828,0.01294
848,56,312.5,1009.600000000161,57.01,0.00768
849,63,156.25,460.20000000003614,63.46,0.00144
850,104,781.25,369.70000000001556,104.37,0.00578
852,60,156.25,1664.5999999995815,61.665,0.32917
855,110,156.25,1205.9999999999986,111.206,0.01214
856,59,312.5,2036.2999999992435,61.036,0.05442
858,62,2500.0,2067.0999999992155,64.067,0.23434
860,88,4375.0,1002.9000000001595,89.003,0.08884
861,75,5000.0,3419.999999997985,78.42,0.99498
862,61,1093.75,1861.2999999994026,62.861,0.13491
863,56,1406.25,1031.800000000157,57.032,0.04885
866,84,2187.5,1134.4000000000638,85.134,0.09202
868,80,2500.0,1636.499999999607,81.636,0.2091
868,81,10000.0,636.5000000000762,81.637,0.2091
869,94,468.75,1920.6999999993486,95.921,0.05828
870,106,2656.25,1612.299999999629,107.612,0.20427
874,66,625.0,3218.599999998168,69.219,0.58144
877,69,312.5,5940.000000004078,74.94,1.51161
879,89,6093.75,320.2000000000043,89.32,0.03901
883,60,4062.5,1093.7000000001008,61.094,0.17365
884,62,1562.5,2242.199999999056,64.242,0.43712
888,80,625.0,3897.8999999975504,83.898,0.68188
892,54,312.5,1272.4999999999382,55.272,0.01476
895,62,781.25,5779.0000000034925,67.779,1.62541
898,104,937.5,1232.099999999975,105.232,0.12461
900,82,781.25,1119.900000000077,83.12,0.02237
905,147,2343.75,1033.9000000001552,148.034,0.05651
906,68,312.5,4874.800000000203,72.875,1.46039
907,83,1093.75,3014.9999999983534,86.015,0.38537
908,61,6718.75,1274.6999999999362,62.275,0.36858
911,60,312.5,1842.09999999942,61.842,0.17992
913,65,625.0,4443.799999998635,69.444,0.35462
915,81,156.25,1889.0999999993774,82.889,0.02257
916,83,781.25,389.7000000000201,83.39,0.00609
919,61,3281.25,1142.2000000000567,62.142,0.16516
924,105,781.25,1034.000000000155,106.034,0.017
925,79,3437.5,3110.5999999982664,82.111,0.63047
926,118,1406.25,207.4999999999925,118.207,0.00583
928,54,937.5,7.599999999999989,54.008,0.00014
929,61,15625.0,1222.6999999999834,62.223,0.44104
933,108,1406.25,2569.7999999987583,110.57,0.15251
934,62,781.25,4375.1999999983855,66.375,0.8209
935,60,3281.25,654.8000000000803,60.655,0.04297
936,72,1406.25,3334.5999999980627,75.335,0.81262
937,59,1093.75,4032.7999999974277,63.033,0.28473
939,57,781.25,75.10000000000001,57.075,0.00117
940,58,625.0,2795.0999999985534,60.795,0.1917
947,68,781.25,4613.299999999252,72.613,0.60558
